127.0.0.1 - - [09/Oct/2017:14:30:26 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:31:23 +0800] "GET /QQMusic/index.action HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:31:23 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:32:21 +0800] "GET /QQMusic/index HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:32:29 +0800] "GET /QQMusic/index.action HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:32:51 +0800] "GET /QQMusic/index.action HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:33:05 +0800] "GET /index.action HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:33:10 +0800] "GET /QQMusic/index.action HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/js/template.js HTTP/1.1" 200 15517
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/logo.png HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/css/index.css HTTP/1.1" 200 7591
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/css/template.css HTTP/1.1" 200 12931
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/js/index.js HTTP/1.1" 200 20454
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/js/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/cover_play.png HTTP/1.1" 200 2220
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/bg_index_new.jpg HTTP/1.1" 200 104718
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/icon_sprite.png HTTP/1.1" 200 25339
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/hotRecommendedMVHead/1.jpg HTTP/1.1" 200 100607
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/hotRecommendedMVHead/2.jpg HTTP/1.1" 200 77266
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/hotRecommendedMVHead/8.jpg HTTP/1.1" 200 80481
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/footer.png HTTP/1.1" 200 7558
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/hotRecommendedMVHead/9.jpg HTTP/1.1" 200 54729
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/hotRecommendedMVHead/3.jpg HTTP/1.1" 200 69638
0:0:0:0:0:0:0:1 - - [09/Oct/2017:14:34:20 +0800] "GET /music_view/img/hotRecommendedMVHead/10.jpg HTTP/1.1" 200 100176
